X Y mu sigma
0.0019588358918128657 -1.2147696907049976e-05 -1.214771226161498e-05 1.8024288171539164e-10
0.003911960891812866 -1.1967345926677808e-05 -1.1967283079626674e-05 1.0898639914545953e-10
0.005865085891812866 -1.178298862214433e-05 -1.178303756712409e-05 1.0111039392979057e-10
0.007818210891812866 -1.1595424439292401e-05 -1.1595395177940176e-05 1.0020348898862818e-10
0.009771335891812866 -1.1404727047192864e-05 -1.1404798302045404e-05 9.369824277434062e-11
0.011724460891812866 -1.121173772844486e-05 -1.1211710846010501e-05 8.575863479262077e-11
0.013677585891812866 -1.1016541975550354e-05 -1.101661672349392e-05 8.059544634899933e-11
0.015630710891812866 -1.0820102033903822e-05 -1.0820018241681533e-05 7.887770284903546e-11
0.017583835891812866 -1.0622422450978775e-05 -1.0622434455037719e-05 7.879765038776259e-11
0.019536960891812866 -1.0424514584883582e-05 -1.0424399426404509e-05 7.846832612839724e-11
0.021490085891812866 -1.0226387530565262e-05 -1.0226460502316692e-05 7.711164178008211e-11
0.023443210891812866 -1.002925455395598e-05 -1.0029176523069306e-05 7.493678049242228e-11
0.025396335891812866 -9.832998330239207e-06 -9.833116054857387e-06 7.261553524481175e-11
0.027349460891812866 -9.638936717237812e-06 -9.638855578931462e-06 7.080152772979447e-11
0.029302585891812866 -9.446814146940596e-06 -9.4469777161037e-06 6.97818247350478e-11
0.031255710891812866 -9.25819949770812e-06 -9.258069421138981e-06 6.945482433694018e-11
0.033208835891812866 -9.072576176549774e-06 -9.072720197875628e-06 6.94353501113122e-11
0.035161960891812866 -8.891671313904226e-06 -8.891520308811576e-06 6.935667634566013e-11
0.037115085891812866 -8.714891009731218e-06 -8.71505899609888e-06 6.897140275289648e-11
0.039068210891812866 -8.544078809791245e-06 -8.543922691890289e-06 6.824131748957364e-11
0.041021335891812866 -8.37858624436194e-06 -8.378693242274543e-06 6.729227417754816e-11
0.042974460891812866 -8.220109521062112e-06 -8.219946122500253e-06 6.631530405980991e-11
0.044927585891812866 -8.06816569820512e-06 -8.068248667150784e-06 6.551054972629369e-11
0.046880710891812866 -7.92429727880517e-06 -7.924158283591792e-06 6.498277039539743e-11
0.048833835891812866 -7.788140464981552e-06 -7.788220690824203e-06 6.473757993257691e-11
0.050786960891812866 -7.661035851924678e-06 -7.66096814103928e-06 6.467526581495535e-11
0.052740085891812866 -7.542796993220691e-06 -7.542917687995613e-06 6.467255514348934e-11
0.054693210891812866 -7.4346057772345375e-06 -7.434569421859777e-06 6.461095354876762e-11
0.056646335891812866 -7.3363262345083075e-06 -7.33640478342951e-06 6.440674476659084e-11
0.058599460891812866 -7.248895144584823e-06 -7.248884859537924e-06 6.405543723752905e-11
0.060552585891812866 -7.172338428063087e-06 -7.172448743322037e-06 6.35892593965937e-11
0.06250571089181287 -7.107535111572361e-06 -7.10751193432053e-06 6.309423997484933e-11
0.06445883589181287 -7.054416073515311e-06 -7.054464790993569e-06 6.264889610675326e-11
0.06641196089181287 -7.013706181169255e-06 -7.013671045425697e-06 6.23125985511091e-11
0.06836508589181287 -6.98546773492126e-06 -6.985466391339089e-06 6.210970405640602e-11
0.07031821089181287 -6.970284630369861e-06 -6.970157161622635e-06 6.202779517279255e-11
0.07227133589181287 -6.968090019654483e-06 -6.968019078742834e-06 6.200800785274161e-11
0.07422446089181287 -6.979378667892888e-06 -6.979296112502223e-06 6.200760396413629e-11
0.07617758589181287 -7.004204235272482e-06 -7.004199450645279e-06 6.196316014535372e-11
0.07813071089181287 -7.04291778674815e-06 -7.042906542988856e-06 6.185434027388593e-11
0.08008383589181287 -7.0955434239294846e-06 -7.095560308761828e-06 6.165562463713467e-11
0.08203696089181287 -7.1622143877903e-06 -7.1622684145089355e-06 6.14053061755333e-11
0.08399008589181287 -7.243081199703738e-06 -7.2431027051532e-06 6.112979619276952e-11
0.08594321089181287 -7.338031082326779e-06 -7.3380987320993495e-06 6.086991019231399e-11
0.08789633589181287 -7.4472318374319e-06 -7.447255428524919e-06 6.066466762093067e-11
0.08984946089181287 -7.570436082460217e-06 -7.570534881022016e-06 6.052496994707867e-11
0.09180258589181287 -7.70785663917195e-06 -7.707862233123303e-06 6.045375725615143e-11
0.09375571089181287 -7.859066499804612e-06 -7.859125706985513e-06 6.043013918826831e-11
0.09570883589181287 -8.02428894530749e-06 -8.024176741568398e-06 6.04305536198865e-11
0.09766196089181287 -8.202790922950953e-06 -8.202830229459761e-06 6.042060647648369e-11
0.09961508589181287 -8.39502172311768e-06 -8.39486488199341e-06 6.038204581814112e-11
0.10156821089181287 -8.599969987699296e-06 -8.600023679034356e-06 6.029405191870264e-11
0.10352133589181287 -8.818098649499007e-06 -8.818014429703339e-06 6.016764741168472e-11
0.10547446089181287 -9.048375432030298e-06 -9.048510426316016e-06 6.001594441303683e-11
0.10742758589181287 -9.291196874983143e-06 -9.291151188721088e-06 5.985172350265527e-11
0.10938071089181287 -9.545435204927344e-06 -9.545543277052422e-06 5.970592944465508e-11
0.11133383589181287 -9.811352356337011e-06 -9.811261231601808e-06 5.958584313405859e-11
0.11328696089181287 -1.0087756891152821e-05 -1.0087848531603075e-05 5.950635240808441e-11
0.11524008589181287 -1.0374913472332992e-05 -1.0374818680293363e-05 5.94659354726354e-11
0.11719321089181287 -1.067158518708311e-05 -1.067165629768251e-05 5.945245705499317e-11
0.11914633589181287 -1.0977940291923005e-05 -1.0977818355612994e-05 5.945456325916692e-11
0.12109946089181287 -1.1292654562566895e-05 -1.129273539291608e-05 5.945035077620092e-11
0.12305258589181287 -1.161598993348889e-05 -1.161581283606956e-05 5.94267553534065e-11
0.12500571089181287 -1.1946400263695978e-05 -1.1946432355300325e-05 5.937531857387606e-11
0.12695883589181287 -1.2284150216146372e-05 -1.2283953256222633e-05 5.930188072949446e-11
0.12891196089181287 -1.2627614523808006e-05 -1.2627713943144824e-05 5.920297586111208e-11
0.13086508589181287 -1.2977146070625167e-05 -1.2977033377663953e-05 5.910687153804636e-11
0.13281821089181287 -1.3331078662304208e-05 -1.3331212597531954e-05 5.900806423077987e-11
0.13477133589181287 -1.368957236991264e-05 -1.3689536270239475e-05 5.893161898009243e-11
0.13672446089181287 -1.4051123798708431e-05 -1.4051274228735987e-05 5.887549604551528e-11
0.13867758589181287 -1.4415691111935303e-05 -1.4415683083487018e-05 5.884358416742119e-11
0.14063071089181287 -1.4781856407353189e-05 -1.4782007792892503e-05 5.883081456935251e-11
0.14258383589181287 -1.5149411410675384e-05 -1.5149483277354946e-05 5.883209165388413e-11
0.14453696089181287 -1.5517125575570386e-05 -1.5517336026047517e-05 5.883124026727665e-11
0.14649008589181287 -1.5884761523921043e-05 -1.5884785716412925e-05 5.882400298359185e-11
