X Y mu sigma
0.00196078431372549 -1.2147696907049976e-05 -1.2147648076347548e-05 1.0668727341526571e-10
0.00391390931372549 -1.1967345926677808e-05 -1.1967292788022148e-05 6.896430227978679e-11
0.00586703431372549 -1.178298862214433e-05 -1.178307933826658e-05 5.6509696106160056e-11
0.00782015931372549 -1.1595424439292401e-05 -1.1595441848050315e-05 5.526542261988534e-11
0.00977328431372549 -1.1404727047192864e-05 -1.14048341489594e-05 5.501755894225276e-11
0.01172640931372549 -1.121173772844486e-05 -1.1211728688941144e-05 5.3137843416455394e-11
0.01367953431372549 -1.1016541975550354e-05 -1.1016615411252199e-05 5.010137074952614e-11
0.01563265931372549 -1.0820102033903824e-05 -1.0820000534367463e-05 4.700362323484425e-11
0.01758578431372549 -1.0622422450978775e-05 -1.0622405281853581e-05 4.467668641107793e-11
0.01953890931372549 -1.0424514584883582e-05 -1.04243645465399e-05 4.3395636267267214e-11
0.02149203431372549 -1.0226387530565262e-05 -1.0226425509225775e-05 4.2957334463312325e-11
0.02344515931372549 -1.0029254553955978e-05 -1.002914616030358e-05 4.291535796933216e-11
0.02539828431372549 -9.832998330239207e-06 -9.833093827408536e-06 4.2878945101528436e-11
0.02735140931372549 -9.638936717237812e-06 -9.638843568708769e-06 4.2598510692465616e-11
0.02930453431372549 -9.446814146940595e-06 -9.446976593423848e-06 4.201272888135109e-11
0.03125765931372549 -9.25819949770812e-06 -9.25807860006853e-06 4.1196140919499034e-11
0.03321078431372549 -9.072576176549774e-06 -9.072738080380141e-06 4.027213977008649e-11
0.03516390931372549 -8.891671313904226e-06 -8.891544565805378e-06 3.9372237569390196e-11
0.03711703431372549 -8.714891009731218e-06 -8.715086896781334e-06 3.864375783623754e-11
0.03907015931372549 -8.544078809791245e-06 -8.543951388005567e-06 3.813042549657265e-11
0.04102328431372549 -8.378586244361942e-06 -8.378720048530522e-06 3.783464628896768e-11
0.04297640931372549 -8.220109521062115e-06 -8.219968728209517e-06 3.772492280085261e-11
0.04492953431372549 -8.068165698205121e-06 -8.068265312769373e-06 3.770580786175393e-11
0.04688265931372549 -7.924297278805169e-06 -7.924167834683779e-06 3.769624675741755e-11
0.04883578431372549 -7.788140464981552e-06 -7.788222698798896e-06 3.7638031044213055e-11
0.05078890931372549 -7.66103585192468e-06 -7.660962811726714e-06 3.751492350415075e-11
0.05274203431372549 -7.542796993220691e-06 -7.5429058097276805e-06 3.726910046247143e-11
0.05469515931372549 -7.4346057772345375e-06 -7.434552260704095e-06 3.693879172759258e-11
0.05664828431372549 -7.336326234508306e-06 -7.336383945695081e-06 3.654965891508769e-11
0.05860140931372549 -7.2488951445848215e-06 -7.248862147335139e-06 3.616381471177481e-11
0.06055453431372549 -7.172338428063085e-06 -7.172426009953922e-06 3.5799829842151573e-11
0.06250765931372548 -7.107535111572361e-06 -7.1074909227776525e-06 3.5492247367166936e-11
0.06446078431372548 -7.054416073515313e-06 -7.054447030224053e-06 3.5270660085252075e-11
0.06641390931372548 -7.013706181169255e-06 -7.013657740833633e-06 3.513242020620844e-11
0.06836703431372548 -6.985467734921258e-06 -6.98545836334989e-06 3.505966890778125e-11
0.07032015931372548 -6.970284630369861e-06 -6.970154789423042e-06 3.5029668574391106e-11
0.07227328431372548 -6.968090019654483e-06 -6.968022319184842e-06 3.5033955909157096e-11
0.07422640931372548 -6.979378667892888e-06 -6.979304521273273e-06 3.502280774710611e-11
0.07617953431372548 -7.004204235272482e-06 -7.004212211130732e-06 3.499020044628707e-11
0.07813265931372548 -7.0429177867481485e-06 -7.0429225758278834e-06 3.492231414303302e-11
0.08008578431372548 -7.0955434239294846e-06 -7.0955783291921095e-06 3.481721702700451e-11
0.08203890931372548 -7.1622143877903e-06 -7.162287051867751e-06 3.4659840498037806e-11
0.08399203431372548 -7.243081199703738e-06 -7.243120587519738e-06 3.4477359562473214e-11
0.08594515931372548 -7.338031082326779e-06 -7.338114591876132e-06 3.4278137508966506e-11
0.08789828431372548 -7.4472318374319e-06 -7.4472681730026016e-06 3.408568313750971e-11
0.08985140931372548 -7.570436082460219e-06 -7.570543656955446e-06 3.391074314893065e-11
0.09180453431372548 -7.70785663917195e-06 -7.707866508222265e-06 3.377227340681482e-11
0.09375765931372548 -7.859066499804612e-06 -7.859125256138014e-06 3.3651091305764164e-11
0.09571078431372548 -8.024288945307488e-06 -8.024171667125485e-06 3.358407588236837e-11
0.09766390931372548 -8.202790922950953e-06 -8.202820953996637e-06 3.355454669439522e-11
0.09961703431372548 -8.39502172311768e-06 -8.394852090896661e-06 3.3528575332550075e-11
0.10157015931372548 -8.599969987699296e-06 -8.600008298662985e-06 3.3533950368040163e-11
0.10352328431372548 -8.818098649499008e-06 -8.817997526875926e-06 3.3533950368040163e-11
0.10547640931372548 -9.048375432030298e-06 -9.048493169242933e-06 3.35151339724496e-11
0.10742953431372548 -9.291196874983141e-06 -9.291134730534822e-06 3.348733806485893e-11
0.10938265931372548 -9.545435204927344e-06 -9.545528722545696e-06 3.344694806334996e-11
0.11133578431372548 -9.811352356337013e-06 -9.811249546389937e-06 3.337322281197784e-11
0.11328890931372548 -1.0087756891152821e-05 -1.0087840495971543e-05 3.328670283411655e-11
0.11524203431372548 -1.0374913472332993e-05 -1.0374814812949593e-05 3.3179140942698915e-11
0.11719515931372548 -1.0671585187083112e-05 -1.0671656889723223e-05 3.3075770407312605e-11
0.11914828431372548 -1.0977940291923003e-05 -1.0977823368726152e-05 3.296843146721677e-11
0.12110140931372548 -1.1292654562566895e-05 -1.1292744558011646e-05 3.287536455557166e-11
0.12305453431372548 -1.161598993348889e-05 -1.1615825599870891e-05 3.2794859312269196e-11
0.12500765931372548 -1.1946400263695978e-05 -1.1946447969473833e-05 3.273435044870868e-11
